age,gender,primary_device,educational_to_recreational_ratio,health_impacts,urban_or_rural,age_group,usage_category,health_impact_level,daily_screen_time_min,screen_time_risk
14,Male,Tv,0.31,Poor Sleep,Rural,11-15 yrs,Mostly Recreational,High Risk,324,Excessive Usage
17,Female,Smartphone,0.38,None,Rural,16-20 yrs,Mostly Recreational,High Risk,233,Excessive Usage
12,Female,Smartphone,0.35,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,310,Excessive Usage
15,Male,Tv,0.34,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,218,Excessive Usage
9,Male,Tv,0.46,"Poor Sleep, Obesity Risk",Urban,5-10 yrs,Balanced,Moderate Risk,193,Excessive Usage
16,Male,Smartphone,0.35,Anxiety,Rural,16-20 yrs,Mostly Recreational,High Risk,199,Slightly Over Limit
13,Male,Smartphone,0.47,Obesity Risk,Rural,11-15 yrs,Balanced,Moderate Risk,288,Excessive Usage
16,Female,Tv,0.35,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,388,Excessive Usage
9,Male,Tv,0.42,None,Urban,5-10 yrs,Balanced,Moderate Risk,24,Within Limit
10,Female,Tv,0.52,None,Rural,5-10 yrs,Mostly Educational,Low Risk,0,Within Limit
15,Female,Tv,0.35,"Poor Sleep, Obesity Risk",Urban,11-15 yrs,Mostly Recreational,High Risk,341,Excessive Usage
8,Female,Tablet,0.42,"Poor Sleep, Eye Strain, Obesity Risk",Rural,5-10 yrs,Balanced,Moderate Risk,288,Excessive Usage
17,Male,Smartphone,0.35,"Poor Sleep, Eye Strain",Urban,16-20 yrs,Mostly Recreational,High Risk,288,Excessive Usage
14,Female,Tablet,0.46,"Poor Sleep, Eye Strain, Anxiety",Rural,11-15 yrs,Balanced,Moderate Risk,186,Excessive Usage
14,Female,Tablet,0.38,None,Rural,11-15 yrs,Mostly Recreational,High Risk,176,Slightly Over Limit
8,Female,Smartphone,0.55,None,Urban,5-10 yrs,Mostly Educational,Low Risk,142,Slightly Over Limit
16,Female,Smartphone,0.47,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,266,Excessive Usage
15,Female,Smartphone,0.42,None,Urban,11-15 yrs,Balanced,Moderate Risk,169,Slightly Over Limit
11,Female,Smartphone,0.44,None,Urban,11-15 yrs,Balanced,Moderate Risk,314,Excessive Usage
17,Female,Smartphone,0.4,None,Rural,16-20 yrs,Balanced,Moderate Risk,164,Slightly Over Limit
18,Male,Smartphone,0.39,"Poor Sleep, Obesity Risk",Urban,16-20 yrs,Mostly Recreational,High Risk,294,Excessive Usage
12,Female,Smartphone,0.35,None,Urban,11-15 yrs,Mostly Recreational,High Risk,296,Excessive Usage
9,Female,Smartphone,0.4,None,Rural,5-10 yrs,Balanced,Moderate Risk,0,Within Limit
16,Female,Smartphone,0.32,Poor Sleep,Rural,16-20 yrs,Mostly Recreational,High Risk,320,Excessive Usage
13,Male,Tv,0.33,None,Urban,11-15 yrs,Mostly Recreational,High Risk,329,Excessive Usage
10,Female,Tv,0.47,"Poor Sleep, Anxiety",Urban,5-10 yrs,Balanced,Moderate Risk,317,Excessive Usage
14,Female,Smartphone,0.45,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,236,Excessive Usage
16,Male,Tablet,0.48,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,242,Excessive Usage
10,Male,Tablet,0.44,None,Rural,5-10 yrs,Balanced,Moderate Risk,103,Slightly Over Limit
9,Male,Tablet,0.44,Poor Sleep,Rural,5-10 yrs,Balanced,Moderate Risk,508,Excessive Usage
14,Male,Smartphone,0.33,"Anxiety, Obesity Risk",Rural,11-15 yrs,Mostly Recreational,High Risk,259,Excessive Usage
14,Male,Laptop,0.41,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,266,Excessive Usage
11,Female,Smartphone,0.48,None,Urban,11-15 yrs,Balanced,Moderate Risk,136,Slightly Over Limit
18,Male,Smartphone,0.48,"Poor Sleep, Eye Strain, Obesity Risk",Rural,16-20 yrs,Balanced,Moderate Risk,334,Excessive Usage
16,Male,Smartphone,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban,16-20 yrs,Balanced,Moderate Risk,220,Excessive Usage
15,Male,Tv,0.42,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,185,Excessive Usage
8,Male,Tablet,0.56,None,Rural,5-10 yrs,Mostly Educational,Low Risk,0,Within Limit
8,Male,Smartphone,0.6,"Poor Sleep, Eye Strain",Urban,5-10 yrs,Mostly Educational,Low Risk,349,Excessive Usage
12,Female,Smartphone,0.35,None,Rural,11-15 yrs,Mostly Recreational,High Risk,297,Excessive Usage
13,Female,Smartphone,0.46,"Eye Strain, Obesity Risk",Rural,11-15 yrs,Balanced,Moderate Risk,299,Excessive Usage
10,Male,Tv,0.57,None,Rural,5-10 yrs,Mostly Educational,Low Risk,27,Within Limit
16,Male,Smartphone,0.31,None,Urban,16-20 yrs,Mostly Recreational,High Risk,347,Excessive Usage
17,Male,Smartphone,0.37,"Poor Sleep, Anxiety",Urban,16-20 yrs,Mostly Recreational,High Risk,349,Excessive Usage
13,Female,Laptop,0.5,"Poor Sleep, Obesity Risk",Rural,11-15 yrs,Mostly Educational,Low Risk,315,Excessive Usage
11,Male,Tv,0.46,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,298,Excessive Usage
14,Male,Tv,0.48,None,Urban,11-15 yrs,Balanced,Moderate Risk,146,Slightly Over Limit
15,Female,Smartphone,0.43,None,Urban,11-15 yrs,Balanced,Moderate Risk,224,Excessive Usage
16,Female,Tv,0.46,None,Urban,16-20 yrs,Balanced,Moderate Risk,177,Slightly Over Limit
18,Male,Tablet,0.43,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,284,Excessive Usage
13,Male,Tv,0.5,None,Rural,11-15 yrs,Mostly Educational,Low Risk,166,Slightly Over Limit
13,Female,Smartphone,0.31,Poor Sleep,Rural,11-15 yrs,Mostly Recreational,High Risk,212,Excessive Usage
15,Male,Tablet,0.39,"Poor Sleep, Anxiety",Urban,11-15 yrs,Mostly Recreational,High Risk,262,Excessive Usage
12,Male,Laptop,0.49,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,362,Excessive Usage
10,Female,Tablet,0.6,None,Urban,5-10 yrs,Mostly Educational,Low Risk,115,Slightly Over Limit
10,Male,Tv,0.53,"Poor Sleep, Anxiety",Rural,5-10 yrs,Mostly Educational,Low Risk,298,Excessive Usage
13,Male,Smartphone,0.39,None,Urban,11-15 yrs,Mostly Recreational,High Risk,291,Excessive Usage
9,Male,Tablet,0.55,None,Urban,5-10 yrs,Mostly Educational,Low Risk,144,Slightly Over Limit
13,Female,Tv,0.44,None,Urban,11-15 yrs,Balanced,Moderate Risk,112,Within Limit
13,Female,Tv,0.44,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,316,Excessive Usage
15,Female,Smartphone,0.33,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,223,Excessive Usage
14,Female,Tv,0.44,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,284,Excessive Usage
15,Male,Smartphone,0.49,"Poor Sleep, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,251,Excessive Usage
16,Male,Smartphone,0.39,Anxiety,Urban,16-20 yrs,Mostly Recreational,High Risk,244,Excessive Usage
13,Male,Laptop,0.39,None,Urban,11-15 yrs,Mostly Recreational,High Risk,203,Excessive Usage
17,Male,Tablet,0.5,"Poor Sleep, Eye Strain",Rural,16-20 yrs,Mostly Educational,Low Risk,322,Excessive Usage
10,Male,Tv,0.51,Anxiety,Urban,5-10 yrs,Mostly Educational,Low Risk,261,Excessive Usage
18,Male,Tablet,0.44,Obesity Risk,Urban,16-20 yrs,Balanced,Moderate Risk,310,Excessive Usage
8,Female,Smartphone,0.54,Obesity Risk,Rural,5-10 yrs,Mostly Educational,Low Risk,379,Excessive Usage
18,Female,Tablet,0.49,None,Rural,16-20 yrs,Balanced,Moderate Risk,199,Slightly Over Limit
12,Female,Smartphone,0.32,"Eye Strain, Anxiety, Obesity Risk",Urban,11-15 yrs,Mostly Recreational,High Risk,382,Excessive Usage
11,Female,Smartphone,0.38,Poor Sleep,Rural,11-15 yrs,Mostly Recreational,High Risk,245,Excessive Usage
16,Female,Smartphone,0.32,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,258,Excessive Usage
16,Male,Smartphone,0.41,None,Urban,16-20 yrs,Balanced,Moderate Risk,109,Within Limit
12,Female,Tablet,0.47,None,Urban,11-15 yrs,Balanced,Moderate Risk,215,Excessive Usage
17,Male,Smartphone,0.3,"Poor Sleep, Anxiety",Urban,16-20 yrs,Mostly Recreational,High Risk,215,Excessive Usage
11,Male,Smartphone,0.3,Anxiety,Urban,11-15 yrs,Mostly Recreational,High Risk,350,Excessive Usage
14,Female,Tablet,0.47,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,315,Excessive Usage
13,Male,Smartphone,0.44,Anxiety,Urban,11-15 yrs,Balanced,Moderate Risk,244,Excessive Usage
11,Female,Smartphone,0.5,Poor Sleep,Urban,11-15 yrs,Mostly Educational,Low Risk,361,Excessive Usage
17,Male,Smartphone,0.35,"Eye Strain, Anxiety",Rural,16-20 yrs,Mostly Recreational,High Risk,323,Excessive Usage
9,Male,Tv,0.56,"Poor Sleep, Eye Strain, Anxiety",Urban,5-10 yrs,Mostly Educational,Low Risk,375,Excessive Usage
8,Female,Tv,0.56,"Poor Sleep, Anxiety",Urban,5-10 yrs,Mostly Educational,Low Risk,299,Excessive Usage
11,Female,Smartphone,0.31,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,355,Excessive Usage
11,Male,Smartphone,0.33,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,345,Excessive Usage
8,Female,Smartphone,0.54,"Poor Sleep, Eye Strain",Urban,5-10 yrs,Mostly Educational,Low Risk,291,Excessive Usage
13,Male,Laptop,0.3,Anxiety,Rural,11-15 yrs,Mostly Recreational,High Risk,194,Excessive Usage
11,Female,Tv,0.46,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,306,Excessive Usage
8,Female,Tablet,0.41,Poor Sleep,Rural,5-10 yrs,Balanced,Moderate Risk,370,Excessive Usage
8,Female,Tv,0.5,Poor Sleep,Rural,5-10 yrs,Mostly Educational,Low Risk,440,Excessive Usage
8,Male,Tv,0.55,None,Urban,5-10 yrs,Mostly Educational,Low Risk,94,Slightly Over Limit
15,Male,Smartphone,0.44,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Balanced,Moderate Risk,330,Excessive Usage
17,Female,Smartphone,0.3,"Poor Sleep, Anxiety",Rural,16-20 yrs,Mostly Recreational,High Risk,308,Excessive Usage
15,Male,Smartphone,0.38,"Poor Sleep, Obesity Risk",Rural,11-15 yrs,Mostly Recreational,High Risk,352,Excessive Usage
9,Male,Tv,0.51,Eye Strain,Urban,5-10 yrs,Mostly Educational,Low Risk,520,Excessive Usage
18,Male,Smartphone,0.38,None,Rural,16-20 yrs,Mostly Recreational,High Risk,185,Slightly Over Limit
14,Male,Smartphone,0.47,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,217,Excessive Usage
15,Female,Smartphone,0.46,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Balanced,Moderate Risk,320,Excessive Usage
15,Female,Smartphone,0.5,Anxiety,Urban,11-15 yrs,Mostly Educational,Low Risk,212,Excessive Usage
18,Female,Smartphone,0.44,Poor Sleep,Rural,16-20 yrs,Balanced,Moderate Risk,365,Excessive Usage
17,Female,Smartphone,0.45,None,Rural,16-20 yrs,Balanced,Moderate Risk,376,Excessive Usage
18,Female,Laptop,0.41,"Poor Sleep, Eye Strain, Anxiety",Rural,16-20 yrs,Balanced,Moderate Risk,206,Slightly Over Limit
14,Male,Laptop,0.49,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Balanced,Moderate Risk,259,Excessive Usage
12,Male,Tv,0.46,None,Urban,11-15 yrs,Balanced,Moderate Risk,161,Slightly Over Limit
8,Female,Tablet,0.59,None,Urban,5-10 yrs,Mostly Educational,Low Risk,164,Excessive Usage
16,Male,Smartphone,0.3,Poor Sleep,Rural,16-20 yrs,Mostly Recreational,High Risk,296,Excessive Usage
14,Female,Laptop,0.49,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,269,Excessive Usage
9,Female,Tablet,0.5,None,Rural,5-10 yrs,Mostly Educational,Low Risk,145,Slightly Over Limit
13,Male,Tv,0.48,Anxiety,Rural,11-15 yrs,Balanced,Moderate Risk,311,Excessive Usage
9,Male,Tv,0.55,"Poor Sleep, Eye Strain",Urban,5-10 yrs,Mostly Educational,Low Risk,298,Excessive Usage
8,Male,Tv,0.43,"Poor Sleep, Eye Strain",Rural,5-10 yrs,Balanced,Moderate Risk,212,Excessive Usage
14,Male,Tv,0.44,Eye Strain,Urban,11-15 yrs,Balanced,Moderate Risk,367,Excessive Usage
9,Female,Smartphone,0.44,"Poor Sleep, Obesity Risk",Rural,5-10 yrs,Balanced,Moderate Risk,410,Excessive Usage
9,Male,Smartphone,0.53,Anxiety,Urban,5-10 yrs,Mostly Educational,Low Risk,390,Excessive Usage
18,Female,Smartphone,0.35,Obesity Risk,Rural,16-20 yrs,Mostly Recreational,High Risk,216,Excessive Usage
12,Male,Smartphone,0.31,None,Urban,11-15 yrs,Mostly Recreational,High Risk,290,Excessive Usage
12,Male,Tv,0.32,None,Rural,11-15 yrs,Mostly Recreational,High Risk,160,Slightly Over Limit
14,Male,Smartphone,0.39,None,Rural,11-15 yrs,Mostly Recreational,High Risk,182,Excessive Usage
8,Female,Tv,0.46,"Poor Sleep, Anxiety",Rural,5-10 yrs,Balanced,Moderate Risk,220,Excessive Usage
15,Male,Smartphone,0.46,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Balanced,Moderate Risk,323,Excessive Usage
10,Male,Smartphone,0.43,None,Urban,5-10 yrs,Balanced,Moderate Risk,139,Slightly Over Limit
11,Male,Smartphone,0.49,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,295,Excessive Usage
16,Male,Tv,0.49,"Poor Sleep, Anxiety",Rural,16-20 yrs,Balanced,Moderate Risk,385,Excessive Usage
11,Female,Smartphone,0.43,None,Urban,11-15 yrs,Balanced,Moderate Risk,170,Slightly Over Limit
17,Male,Smartphone,0.48,Poor Sleep,Rural,16-20 yrs,Balanced,Moderate Risk,256,Excessive Usage
12,Female,Laptop,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,335,Excessive Usage
14,Female,Tablet,0.32,"Poor Sleep, Anxiety",Urban,11-15 yrs,Mostly Recreational,High Risk,206,Excessive Usage
11,Female,Tv,0.35,Anxiety,Rural,11-15 yrs,Mostly Recreational,High Risk,253,Excessive Usage
8,Female,Tv,0.42,Eye Strain,Urban,5-10 yrs,Balanced,Moderate Risk,182,Excessive Usage
16,Male,Tv,0.45,"Poor Sleep, Anxiety",Urban,16-20 yrs,Balanced,Moderate Risk,233,Excessive Usage
11,Male,Smartphone,0.48,None,Rural,11-15 yrs,Balanced,Moderate Risk,269,Excessive Usage
16,Female,Tv,0.44,Poor Sleep,Rural,16-20 yrs,Balanced,Moderate Risk,274,Excessive Usage
13,Male,Smartphone,0.46,Eye Strain,Urban,11-15 yrs,Balanced,Moderate Risk,248,Excessive Usage
8,Female,Smartphone,0.43,None,Urban,5-10 yrs,Balanced,Moderate Risk,89,Within Limit
10,Male,Smartphone,0.58,"Poor Sleep, Anxiety",Urban,5-10 yrs,Mostly Educational,Low Risk,301,Excessive Usage
18,Female,Smartphone,0.43,"Poor Sleep, Eye Strain",Urban,16-20 yrs,Balanced,Moderate Risk,428,Excessive Usage
9,Female,Smartphone,0.44,Eye Strain,Rural,5-10 yrs,Balanced,Moderate Risk,307,Excessive Usage
16,Male,Laptop,0.37,"Poor Sleep, Eye Strain",Urban,16-20 yrs,Mostly Recreational,High Risk,292,Excessive Usage
8,Male,Smartphone,0.41,None,Urban,5-10 yrs,Balanced,Moderate Risk,106,Slightly Over Limit
16,Male,Smartphone,0.32,"Poor Sleep, Eye Strain",Rural,16-20 yrs,Mostly Recreational,High Risk,356,Excessive Usage
16,Male,Smartphone,0.45,"Poor Sleep, Obesity Risk",Urban,16-20 yrs,Balanced,Moderate Risk,256,Excessive Usage
15,Female,Tablet,0.42,Eye Strain,Urban,11-15 yrs,Balanced,Moderate Risk,260,Excessive Usage
15,Male,Laptop,0.41,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Balanced,Moderate Risk,240,Excessive Usage
18,Female,Smartphone,0.43,None,Rural,16-20 yrs,Balanced,Moderate Risk,287,Excessive Usage
8,Male,Smartphone,0.43,"Poor Sleep, Eye Strain",Urban,5-10 yrs,Balanced,Moderate Risk,311,Excessive Usage
18,Female,Tv,0.45,None,Urban,16-20 yrs,Balanced,Moderate Risk,329,Excessive Usage
15,Female,Tv,0.49,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,220,Excessive Usage
17,Male,Smartphone,0.38,Poor Sleep,Rural,16-20 yrs,Mostly Recreational,High Risk,254,Excessive Usage
10,Male,Smartphone,0.55,None,Urban,5-10 yrs,Mostly Educational,Low Risk,53,Within Limit
18,Male,Tv,0.3,None,Rural,16-20 yrs,Mostly Recreational,High Risk,211,Excessive Usage
14,Female,Smartphone,0.31,None,Rural,11-15 yrs,Mostly Recreational,High Risk,143,Slightly Over Limit
18,Female,Smartphone,0.36,None,Urban,16-20 yrs,Mostly Recreational,High Risk,301,Excessive Usage
8,Male,Smartphone,0.6,None,Urban,5-10 yrs,Mostly Educational,Low Risk,4,Within Limit
8,Male,Smartphone,0.51,Poor Sleep,Rural,5-10 yrs,Mostly Educational,Low Risk,227,Excessive Usage
17,Male,Laptop,0.37,None,Rural,16-20 yrs,Mostly Recreational,High Risk,164,Slightly Over Limit
12,Female,Smartphone,0.36,"Poor Sleep, Anxiety",Rural,11-15 yrs,Mostly Recreational,High Risk,428,Excessive Usage
12,Male,Smartphone,0.36,"Poor Sleep, Eye Strain",Rural,11-15 yrs,Mostly Recreational,High Risk,245,Excessive Usage
15,Female,Laptop,0.4,None,Urban,11-15 yrs,Balanced,Moderate Risk,169,Slightly Over Limit
14,Male,Laptop,0.3,Poor Sleep,Rural,11-15 yrs,Mostly Recreational,High Risk,355,Excessive Usage
15,Male,Tv,0.35,"Poor Sleep, Obesity Risk",Rural,11-15 yrs,Mostly Recreational,High Risk,183,Excessive Usage
13,Male,Smartphone,0.49,None,Urban,11-15 yrs,Balanced,Moderate Risk,384,Excessive Usage
13,Female,Smartphone,0.42,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,421,Excessive Usage
9,Male,Tv,0.48,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,275,Excessive Usage
13,Female,Tv,0.48,Poor Sleep,Rural,11-15 yrs,Balanced,Moderate Risk,358,Excessive Usage
12,Male,Laptop,0.34,None,Urban,11-15 yrs,Mostly Recreational,High Risk,267,Excessive Usage
10,Female,Tv,0.51,"Anxiety, Obesity Risk",Urban,5-10 yrs,Mostly Educational,Low Risk,281,Excessive Usage
13,Female,Smartphone,0.34,None,Rural,11-15 yrs,Mostly Recreational,High Risk,335,Excessive Usage
15,Female,Tv,0.45,None,Urban,11-15 yrs,Balanced,Moderate Risk,173,Slightly Over Limit
16,Male,Laptop,0.49,"Poor Sleep, Anxiety",Urban,16-20 yrs,Balanced,Moderate Risk,192,Slightly Over Limit
8,Female,Tv,0.42,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,272,Excessive Usage
10,Male,Smartphone,0.5,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,355,Excessive Usage
10,Male,Tablet,0.52,"Poor Sleep, Eye Strain",Urban,5-10 yrs,Mostly Educational,Low Risk,296,Excessive Usage
18,Male,Smartphone,0.43,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,341,Excessive Usage
15,Male,Smartphone,0.38,None,Rural,11-15 yrs,Mostly Recreational,High Risk,295,Excessive Usage
12,Male,Tv,0.37,None,Urban,11-15 yrs,Mostly Recreational,High Risk,214,Excessive Usage
10,Female,Smartphone,0.47,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,291,Excessive Usage
15,Female,Smartphone,0.36,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,334,Excessive Usage
10,Female,Tv,0.57,None,Urban,5-10 yrs,Mostly Educational,Low Risk,314,Excessive Usage
14,Female,Tv,0.36,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,227,Excessive Usage
18,Female,Smartphone,0.4,"Poor Sleep, Eye Strain",Urban,16-20 yrs,Balanced,Moderate Risk,256,Excessive Usage
8,Female,Tv,0.58,None,Rural,5-10 yrs,Mostly Educational,Low Risk,110,Slightly Over Limit
13,Male,Smartphone,0.45,None,Rural,11-15 yrs,Balanced,Moderate Risk,194,Excessive Usage
10,Male,Tv,0.5,None,Urban,5-10 yrs,Mostly Educational,Low Risk,167,Excessive Usage
15,Male,Smartphone,0.49,None,Rural,11-15 yrs,Balanced,Moderate Risk,339,Excessive Usage
13,Male,Smartphone,0.42,None,Urban,11-15 yrs,Balanced,Moderate Risk,283,Excessive Usage
9,Female,Smartphone,0.56,Poor Sleep,Rural,5-10 yrs,Mostly Educational,Low Risk,343,Excessive Usage
13,Female,Smartphone,0.39,Poor Sleep,Rural,11-15 yrs,Mostly Recreational,High Risk,256,Excessive Usage
14,Male,Tablet,0.46,Anxiety,Urban,11-15 yrs,Balanced,Moderate Risk,226,Excessive Usage
12,Male,Smartphone,0.36,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,326,Excessive Usage
10,Female,Tv,0.4,None,Urban,5-10 yrs,Balanced,Moderate Risk,81,Within Limit
11,Male,Smartphone,0.36,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,361,Excessive Usage
11,Male,Tablet,0.34,Eye Strain,Urban,11-15 yrs,Mostly Recreational,High Risk,191,Excessive Usage
13,Male,Smartphone,0.34,None,Rural,11-15 yrs,Mostly Recreational,High Risk,175,Slightly Over Limit
17,Male,Tv,0.49,Eye Strain,Rural,16-20 yrs,Balanced,Moderate Risk,215,Excessive Usage
8,Male,Tv,0.44,Poor Sleep,Rural,5-10 yrs,Balanced,Moderate Risk,193,Excessive Usage
18,Female,Tv,0.42,None,Urban,16-20 yrs,Balanced,Moderate Risk,254,Excessive Usage
11,Male,Tv,0.41,"Poor Sleep, Obesity Risk",Rural,11-15 yrs,Balanced,Moderate Risk,295,Excessive Usage
17,Male,Smartphone,0.48,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,323,Excessive Usage
11,Female,Smartphone,0.4,None,Urban,11-15 yrs,Balanced,Moderate Risk,208,Excessive Usage
17,Male,Smartphone,0.36,None,Urban,16-20 yrs,Mostly Recreational,High Risk,82,Within Limit
8,Male,Smartphone,0.42,None,Rural,5-10 yrs,Balanced,Moderate Risk,166,Excessive Usage
16,Female,Tv,0.35,"Poor Sleep, Eye Strain",Rural,16-20 yrs,Mostly Recreational,High Risk,296,Excessive Usage
11,Male,Tablet,0.46,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,342,Excessive Usage
14,Female,Laptop,0.33,None,Urban,11-15 yrs,Mostly Recreational,High Risk,133,Slightly Over Limit
10,Female,Tablet,0.42,Obesity Risk,Rural,5-10 yrs,Balanced,Moderate Risk,436,Excessive Usage
17,Male,Smartphone,0.42,None,Rural,16-20 yrs,Balanced,Moderate Risk,320,Excessive Usage
10,Female,Tv,0.59,"Poor Sleep, Anxiety",Urban,5-10 yrs,Mostly Educational,Low Risk,388,Excessive Usage
15,Female,Laptop,0.32,Poor Sleep,Rural,11-15 yrs,Mostly Recreational,High Risk,223,Excessive Usage
15,Male,Smartphone,0.37,"Poor Sleep, Anxiety",Urban,11-15 yrs,Mostly Recreational,High Risk,209,Excessive Usage
18,Female,Tv,0.33,None,Rural,16-20 yrs,Mostly Recreational,High Risk,126,Within Limit
8,Male,Tv,0.54,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,596,Excessive Usage
17,Male,Smartphone,0.3,Anxiety,Rural,16-20 yrs,Mostly Recreational,High Risk,248,Excessive Usage
9,Male,Smartphone,0.42,None,Urban,5-10 yrs,Balanced,Moderate Risk,167,Excessive Usage
15,Female,Smartphone,0.44,None,Rural,11-15 yrs,Balanced,Moderate Risk,159,Slightly Over Limit
8,Female,Tv,0.51,None,Rural,5-10 yrs,Mostly Educational,Low Risk,112,Slightly Over Limit
15,Male,Laptop,0.39,Eye Strain,Urban,11-15 yrs,Mostly Recreational,High Risk,313,Excessive Usage
15,Female,Laptop,0.41,"Poor Sleep, Anxiety",Rural,11-15 yrs,Balanced,Moderate Risk,285,Excessive Usage
9,Male,Smartphone,0.47,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,413,Excessive Usage
11,Female,Smartphone,0.44,Eye Strain,Urban,11-15 yrs,Balanced,Moderate Risk,423,Excessive Usage
13,Male,Smartphone,0.43,"Poor Sleep, Anxiety",Rural,11-15 yrs,Balanced,Moderate Risk,233,Excessive Usage
18,Female,Tv,0.37,"Poor Sleep, Eye Strain",Urban,16-20 yrs,Mostly Recreational,High Risk,193,Slightly Over Limit
16,Male,Tv,0.4,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,182,Slightly Over Limit
15,Male,Smartphone,0.48,"Poor Sleep, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,263,Excessive Usage
15,Male,Tablet,0.39,"Poor Sleep, Anxiety",Urban,11-15 yrs,Mostly Recreational,High Risk,265,Excessive Usage
14,Male,Smartphone,0.43,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,377,Excessive Usage
16,Male,Laptop,0.42,None,Rural,16-20 yrs,Balanced,Moderate Risk,380,Excessive Usage
9,Female,Tv,0.49,None,Rural,5-10 yrs,Balanced,Moderate Risk,675,Excessive Usage
10,Male,Tv,0.56,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,280,Excessive Usage
17,Male,Smartphone,0.41,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,312,Excessive Usage
15,Male,Smartphone,0.42,None,Rural,11-15 yrs,Balanced,Moderate Risk,173,Slightly Over Limit
13,Female,Smartphone,0.31,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,371,Excessive Usage
17,Female,Smartphone,0.41,"Poor Sleep, Anxiety, Obesity Risk",Urban,16-20 yrs,Balanced,Moderate Risk,373,Excessive Usage
16,Male,Laptop,0.4,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,256,Excessive Usage
17,Female,Tv,0.35,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,262,Excessive Usage
11,Female,Tv,0.35,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,365,Excessive Usage
15,Female,Smartphone,0.38,Anxiety,Urban,11-15 yrs,Mostly Recreational,High Risk,260,Excessive Usage
17,Male,Smartphone,0.36,"Poor Sleep, Eye Strain",Rural,16-20 yrs,Mostly Recreational,High Risk,184,Slightly Over Limit
10,Female,Tv,0.44,"Poor Sleep, Eye Strain",Rural,5-10 yrs,Balanced,Moderate Risk,203,Excessive Usage
10,Male,Smartphone,0.54,"Poor Sleep, Eye Strain",Rural,5-10 yrs,Mostly Educational,Low Risk,254,Excessive Usage
